id;connexion;geo_point_2d;geo_shape;id_gares;nom_gares;nom_so_gar;nom_su_gar;id_ref_zdc;nom_zdc;id_ref_zda;nom_zda;idrefliga;idrefligc;res_com;ligne;mode;tertrain;terrer;termetro;tertram;terval;exploitant;color;idf;principal;x;y;picto;nom_iv
44;8;48.848237109475654,2.3958235888261252;"{""coordinates"": [2.395823588826125, 48.848237109475654], ""type"": ""Point""}";582;Nation;;;71673;Nation;473875;Nation;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;red;1;0;655662.633;6861080.0037;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Nation
35;26;48.85290746187024,2.5143124384334397;"{""coordinates"": [2.51431243843344, 48.85290746187024], ""type"": ""Point""}";589;Neuilly-Plaisance;;;73190;Neuilly-Plaisance;43172;Neuilly-Plaisance;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;red;1;0;664360.9851;6861539.3034;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Neuilly-Plaisance
46;30;49.014133684049256,2.078306591409993;"{""coordinates"": [2.078306591409993, 49.014133684049256], ""type"": ""Point""}";591;Neuville Université;;;66436;Neuville Université;47879;Neuville Université;A01856;C01742;RER A;A;RER;0;0;0;0;0;SNCF;red;1;0;632577.9185;6879752.0129;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Neuville Université
33;36;48.83428889796156,2.4716812425710324;"{""coordinates"": [2.471681242571032, 48.83428889796156], ""type"": ""Point""}";594;Nogent-sur-Marne;;;71590;Nogent-sur-Marne;47886;Nogent-sur-Marne;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;red;1;0;661218.966;6859489.1681;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Nogent-sur-Marne
9;5;48.843509238513676,2.6166786246946017;"{""coordinates"": [2.616678624694602, 48.843509238513676], ""type"": ""Point""}";596;Noisiel;;;68153;Noisiel;44199;Noisiel;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;red;1;0;671867.3203;6860452.9548;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Noisiel
5;14;48.84288483988904,2.5800859119743556;"{""coordinates"": [2.580085911974356, 48.84288483988904], ""type"": ""Point""}";597;Noisy-Champs;;;73163;Noisy - Champs;58937;Noisy - Champs;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;red;1;0;669181.367;6860397.1861;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Noisy-Champs
14;15;48.84084437122463,2.549900487641345;"{""coordinates"": [2.549900487641345, 48.84084437122463], ""type"": ""Point""}";598;Noisy-le-Grand-Mont d'Est;;;479919;Noisy-le-Grand Mont d'Est;42613;Cimetière;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;red;1;0;666964.7068;6860182.5075;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Noisy-le-Grand-Mont d'Est
22;16;48.93326540519439,2.0410722896759257;"{""coordinates"": [2.041072289675926, 48.93326540519439], ""type"": ""Point""}";660;Poissy;;;64883;Poissy;47874;Poissy;A01856;C01742;RER A;A;RER;0;RER A;0;0;0;SNCF;red;1;1;629745.1416;6870791.9926;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Poissy
23;21;48.8875736177044,2.1725794477184146;"{""coordinates"": [2.172579447718415, 48.8875736177044], ""type"": ""Point""}";753;Rueil-Malmaison;;;70902;Rueil-Malmaison;58875;Rueil-Malmaison;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;red;1;0;639326.2579;6865602.3414;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Rueil-Malmaison
27;38;48.89807641019572,2.094836628297753;"{""coordinates"": [2.094836628297753, 48.89807641019572], ""type"": ""Point""}";820;Saint-Germain-en-Laye;;;64589;Saint-Germain-en-Laye;43198;Saint-Germain-en-Laye;A01856;C01742;RER A;A;RER;0;RER A;0;0;0;RATP;red;1;1;633639.0981;6866832.704;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Saint-Germain-en-Laye
24;18;48.806200023829,2.472720403802171;"{""coordinates"": [2.472720403802171, 48.806200023829], ""type"": ""Point""}";826;Saint-Maur-Créteil;;;70393;Saint-Maur-des-Fossés - Créteil;44801;Saint-Maur-des-Fossés - Créteil;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;red;1;0;661274.3885;6856365.4867;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Saint-Maur-Créteil
6;3;48.93773606248046,2.157086496469817;"{""coordinates"": [2.157086496469817, 48.93773606248046], ""type"": ""Point""}";785;Sartrouville;;;64918;Sartrouville;43191;Sartrouville;A01856;C01742;RER A;A;RER;0;0;0;0;0;SNCF;red;1;0;638249.7657;6871192.1379;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Sartrouville
34;4;48.771707906029434,2.5074826457143127;"{""coordinates"": [2.507482645714313, 48.771707906029434], ""type"": ""Point""}";841;Sucy-Bonneuil;;;72929;Sucy - Bonneuil;58792;Sucy - Bonneuil;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;red;1;0;663803.5173;6852513.9541;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Sucy-Bonneuil
40;20;48.83964551632845,2.655130086641313;"{""coordinates"": [2.655130086641313, 48.83964551632845], ""type"": ""Point""}";856;Torcy;;;68129;Torcy;43207;Torcy;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;red;1;0;674687.4504;6860010.3257;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Torcy
26;12;48.85409607732852,2.4886964657999346;"{""coordinates"": [2.488696465799935, 48.85409607732852], ""type"": ""Point""}";869;Val de Fontenay;;;71718;Val de Fontenay;47900;Val de Fontenay;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;red;1;1;662482.2054;6861683.3348;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Val de Fontenay
25;7;48.854824961790285,2.7724281482553645;"{""coordinates"": [2.772428148255365, 48.854824961790285], ""type"": ""Point""}";70;Val d'Europe;;;68266;Val d'Europe;43213;Val d'Europe;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;red;1;0;683301.6558;6861666.9761;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Val d'Europe
12;44;48.847340363235745,2.4324346602606606;"{""coordinates"": [2.432434660260661, 48.847340363235745], ""type"": ""Point""}";913;Vincennes;;;71651;Vincennes;43224;Vincennes;A01856;C01742;RER A;A;RER;0;0;0;0;0;RATP;red;1;0;658348.5648;6860960.3591;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a;Vincennes
