connexion;geo_point_2d;geo_shape;id_gares;nom_gares;nom_so_gar;nom_su_gar;id_ref_zdc;nom_zdc;id_ref_zda;nom_zda;idrefliga;idrefligc;res_com;ligne;mode;tertrain;terrer;termetro;tertram;terval;exploitant;color;idf;principal;x;y;picto;nom_iv
444;48.76378680861681,2.4113867249361034;"{""coordinates"": [2.411386724936103, 48.76378680861681], ""type"": ""Point""}";185;Choisy-le-Roi;;;69852;Choisy-le-Roi;43110;Choisy-le-Roi;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;656734.7134;6851681.6092;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Choisy-le-Roi
793;48.533732833041356,2.0087718138734374;"{""coordinates"": [2.008771813873437, 48.533732833041356], ""type"": ""Point""}";240;Dourdan;;;59836;Dourdan;43121;Dourdan;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;626821.1896;6826403.4096;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Dourdan
240;48.53562062164871,1.9959019903628321;"{""coordinates"": [1.995901990362832, 48.53562062164871], ""type"": ""Point""}";241;Dourdan-la-Forêt;;;59843;Dourdan la Forêt;47095;Dourdan la Forêt;A01840;C01727;RER C;C;RER;0;RER C;0;0;0;SNCF;yellow;1;1;625873.7762;6826625.2525;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Dourdan-la-Forêt
134;48.980646099492056,2.2720847727476317;"{""coordinates"": [2.272084772747632, 48.980646099492056], ""type"": ""Point""}";265;Ermont-Eaubonne;;;65669;Ermont - Eaubonne;47898;Ermont - Eaubonne;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;1;646718.0509;6875879.9697;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Ermont-Eaubonne
559;48.99371347945197,2.234276393996537;"{""coordinates"": [2.234276393996537, 48.99371347945197], ""type"": ""Point""}";292;Franconville-Le Plessis-Bouchard;;;66005;Franconville - Le Plessis-Bouchard;43126;Franconville - Le Plessis-Bouchard;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;643964.7292;6877359.2784;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Franconville-Le Plessis-Bouchard
258;48.93289616551451,2.307943234074897;"{""coordinates"": [2.307943234074897, 48.93289616551451], ""type"": ""Point""}";326;Gennevilliers;;;72303;Gennevilliers;43130;Gennevilliers;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;649296.2115;6870546.531;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Gennevilliers
522;48.74085329922273,2.230839930557986;"{""coordinates"": [2.230839930557986, 48.74085329922273], ""type"": ""Point""}";360;Igny;;;63352;Igny;43083;Igny;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;643439.379;6849245.9704;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Igny
664;48.862884803620496,2.3125135549259594;"{""coordinates"": [2.312513554925959, 48.862884803620496], ""type"": ""Point""}";361;Invalides;;;71274;Invalides;470540;Invalides;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;649563.2682;6862758.6946;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Invalides
367;48.819343961671926,2.2578938975150784;"{""coordinates"": [2.257893897515078, 48.819343961671926], ""type"": ""Point""}";366;Issy;;;70612;Issy;43084;Issy;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;645510.7668;6857953.7249;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Issy
57;48.83059547530458,2.264069650250567;"{""coordinates"": [2.264069650250567, 48.83059547530458], ""type"": ""Point""}";367;Issy-Val-de-Seine;;;71016;Issy Val de Seine;462357;Issy Val de Seine;A01840;C01727;RER C;C;RER;0;0;0;0;0;SNCF;yellow;1;0;645975.8689;6859200.5034;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c;Issy-Val-de-Seine
